price,surface,rooms,governorate,property_type
310000.0,150.0,3,Monastir,Appart
621626.0,150.0,3,Sousse,Appart
605561.0,148.0,3,Sousse,Appart
620152.0,132.0,2,Sousse,Appart
2700000.0,476.0,6,Ariana,House
365000.0,105.0,2,Nabeul,Appart
563644.0,135.0,2,Sousse,Appart
514701.0,115.0,2,Sousse,Appart
506961.0,116.0,2,Sousse,Appart
342775.0,74.0,1,Sousse,Appart
415524.0,107.0,2,Sousse,Appart
604877.0,150.0,3,Sousse,Appart
298230.0,67.0,1,Sousse,Appart
426690.0,112.0,2,Sousse,Appart
330810.0,73.0,1,Sousse,Appart
309900.0,96.0,2,Ariana,Appart
650000.0,300.0,10,Ariana,Appart
340000.0,157.0,3,Ariana,Appart
490000.0,179.0,3,Ariana,Appart
450000.0,338.0,2,Ariana,House
1800000.0,751.0,5,Ariana,House
235000.0,121.0,2,Manouba,Appart
360000.0,174.0,4,Tunis,Appart
2200000.0,500.0,5,Ariana,House
1150000.0,450.0,7,Ariana,House
145000.0,64.0,3,Ben Arous,Appart
300000.0,127.0,2,Tunis,Appart
285000.0,83.0,2,Tunis,Appart
720000.0,160.0,3,Tunis,Appart
576000.0,118.0,2,Tunis,Appart
622000.0,136.0,3,Tunis,Appart
316100.0,104.0,1,Ariana,Appart
375200.0,137.0,2,Ariana,Appart
2700000.0,500.0,1,Tunis,House
720000.0,219.0,4,Nabeul,House
560000.0,270.0,4,Nabeul,House
350000.0,210.0,3,Nabeul,Appart
145000.0,101.0,1,Ariana,House
750000.0,230.0,3,Nabeul,House
538000.0,163.0,3,Ariana,Appart
295000.0,100.0,2,Tunis,House
235000.0,107.0,2,Tunis,Appart
1300000.0,440.0,3,Tunis,House
526000.0,104.0,2,Nabeul,Appart
390000.0,140.0,3,Ariana,Appart
395000.0,150.0,4,Ariana,Appart
650000.0,105.0,2,Tunis,House
580000.0,139.0,3,Tunis,Appart
1100000.0,350.0,3,Nabeul,House
1050000.0,280.0,4,Nabeul,House
1700000.0,130.0,4,Nabeul,House
230000.0,1400.0,3,Nabeul,House
320000.0,150.0,3,Ben Arous,House
382000.0,100.0,2,Nabeul,Appart
268000.0,57.0,1,Nabeul,Appart
690000.0,385.0,3,Nabeul,House
390000.0,132.0,2,Nabeul,Appart
630000.0,90.0,2,Tunis,House
230000.0,100.0,2,Nabeul,Appart
1200000.0,560.0,11,Ben Arous,House
1190000.0,365.0,5,Nabeul,House
860000.0,500.0,5,Nabeul,House
160000.0,75.0,2,Nabeul,Appart
220000.0,170.0,3,Nabeul,House
230000.0,106.0,2,Nabeul,Appart
590000.0,156.0,3,Nabeul,Appart
250000.0,200.0,3,Nabeul,Appart
1800000.0,600.0,8,Nabeul,House
400000.0,240.0,2,Nabeul,Appart
1238000.0,188.0,3,Tunis,Appart
165000.0,55.0,1,Nabeul,Appart
1250000.0,360.0,3,Nabeul,House
480000.0,280.0,5,Nabeul,House
370000.0,200.0,3,Nabeul,House
864000.0,149.0,2,Tunis,Appart
472000.0,132.0,3,Tunis,Appart
420000.0,75.0,1,Tunis,Appart
980000.0,275.0,4,Tunis,Appart
582000.0,176.0,2,Ariana,Appart
420000.0,512.0,2,Nabeul,House
1500000.0,680.0,4,Nabeul,House
360000.0,204.0,4,Nabeul,House
230000.0,177.0,2,Nabeul,House
260000.0,77.0,2,Nabeul,Appart
120000.0,50.0,1,Nabeul,Appart
790000.0,725.0,6,Kairouan,House
160000.0,79.0,2,Kairouan,Appart
433000.0,150.0,3,Tunis,Appart
570000.0,156.0,2,Tunis,Appart
