chambres,prix,source,surface,titre,type_bien,type_transaction,ville
3,310000.0,mubawab,150.0,Apartment to purchase in Monastir Ville. 3 rooms. Well furnished,Appart,À Vendre,Monastir
3,621626.0,mubawab,150.0,"Fabulous apartment for sale in El Kantaoui. 4 rooms. Caretaker service available, beautiful Swimming pool",Appart,À Vendre,Hammam Sousse
3,605561.0,mubawab,148.0,"Apartment for sale in El Kantaoui. Area of 148 m². Caretaker available, Large swimming pool",Appart,À Vendre,Hammam Sousse
2,620152.0,mubawab,132.0,Apartment for sale in El Kantaoui. 2 rooms. Lift and terrace,Appart,À Vendre,Hammam Sousse
6,2700000.0,mubawab,476.0,"Luxury home for sale in Cité Ennasr 1.10 large rooms. Usable fireplace, General air conditioning",House,À Vendre,Ariana
2,365000.0,mubawab,105.0,Apartment for sale in Hammamet Sud. 1 Room. Fully furnished,Appart,À Vendre,Hammamet
2,563644.0,mubawab,135.0,Beautiful apartment for sale in El Kantaoui. Total area 135 m². Air conditioning system,Appart,À Vendre,Hammam Sousse
2,514701.0,mubawab,115.0,"Beautiful apartment for sale in El Kantaoui. 3 comfortable rooms. Caretaker available, Large swimming pool",Appart,À Vendre,Hammam Sousse
2,506961.0,mubawab,116.0,"Find an apartment to buy in El Kantaoui. 2 rooms. Partial sea view, Centralised air conditioning",Appart,À Vendre,Hammam Sousse
1,342775.0,mubawab,74.0,"Sale of a lovely apartment in El Kantaoui. 1 lovely room. Sea view, central heating",Appart,À Vendre,Hammam Sousse
2,415524.0,mubawab,107.0,Apartment to purchase in El Kantaoui. 2 lovely rooms. Swimming pool and caretaker service,Appart,À Vendre,Hammam Sousse
3,604877.0,mubawab,150.0,"Find an apartment to buy in El Kantaoui. 3 rooms. Residence with swimming pool, Air conditioning",Appart,À Vendre,Hammam Sousse
1,298230.0,mubawab,67.0,"Fabulous apartment for sale in El Kantaoui. 1 lovely room. Caretaker available, Large swimming pool",Appart,À Vendre,Hammam Sousse
2,426690.0,mubawab,112.0,Apartment for sale in El Kantaoui. 3 large living areas. Caretaker and swimming pool,Appart,À Vendre,Hammam Sousse
1,330810.0,mubawab,73.0,Find an apartment to buy in El Kantaoui. Area 73 m². Built in oven,Appart,À Vendre,Hammam Sousse
1,288000.0,mubawab,70.0,"Apartment for sale in La Soukra. 2 large living areas. Cellar, Large terrace",Appart,À Vendre,La Soukra
1,287000.0,mubawab,68.0,"Sale of a lovely apartment in La Soukra. Total area 63 m². Thermal insulation and soundproofing, Secured door",Appart,À Vendre,La Soukra
2,580000.0,mubawab,125.0,Beautiful apartment for sale in Cité Ennasr. 2 rooms. Beautiful terrace,Appart,À Vendre,Mnihla
2,309900.0,mubawab,96.0,"Apartment to purchase in Cité el Ghazela. 2 rooms. Secured door, Secured neighbourhood",Appart,À Vendre,Raoued
3,493000.0,mubawab,118.0,"Sell apartment in Chotrana 1.4 large rooms. Cellar, Large terrace",Appart,À Vendre,La Soukra
