chambres,prix,source,surface,titre,type_bien,type_transaction,ville
1,280000.0,tayara,99.0,"Un bel appartement s1 de 67,5 m² et 32m² Terrasse en vente sur plan a sahloul 4",Appart,À Vendre,Sousse
2,330000.0,tayara,92.0,A vendre appartement avec terrasse à la Nouvelle Soukra,Appart,À Vendre,Tunis
2,260000.0,tayara,120.0,un appartement s2 a vendre a laouina,Appart,À Vendre,Tunis
1,250000.0,tayara,100.0,appartement s2 a vendre à kelibia plage,Appart,À Vendre,Nabeul
2,185000.0,tayara,85.0,Appartements à cité Riadh Kelibia,Appart,À Vendre,Nabeul
3,98418420.0,tayara,146.5,appartement s3 à vendre à sfax,Appart,À Vendre,Sfax
2,360000.0,tayara,103.0,Maison bâtie sur trois niveaux (R2),Appart,À Vendre,Sousse
1,430000.0,tayara,380.0,Maison 380 m² au centre ville kelibia,House,À Vendre,Nabeul
3,320000.0,tayara,160.0,Appart S3 à Menzah 6 avec une vue panoramique,Appart,À Vendre,Ariana
3,360000.0,tayara,140.0,Appartement S3 à laouina,Appart,À Vendre,Tunis
3,600000.0,tayara,158.0,villa jumelée au jardin de laouina,House,À Vendre,Tunis
4,430000.0,tayara,145.0,ENNASR 1 APPARTEMENT S4 TRANSFORMÉ EN S3 À VENDRE,Appart,À Vendre,Ariana
7,950000.0,tayara,580.0,OPPORTUNITÉ NE PAS RATER FRANCE VILLE VILLA S7 FAISANT LANGLE À VENDRE,House,À Vendre,Tunis
3,365000.0,tayara,147.0,GHAZELA : APPARTEMENT S3 A VENDRE,Appart,À Vendre,Ariana
1,225000.0,tayara,58.0,ENNASR 2 : APPARTEMENT S1 A VENDRE,Appart,À Vendre,Ariana
2,270000.0,tayara,90.0,RIADH AL ANDALOUSE : APPARTEMENT S2 À VENDRE,Appart,À Vendre,Ariana
4,395000.0,tayara,190.0,MENZAH 7 BIS : APPARTEMENT S3 À VENDRE,Appart,À Vendre,Ariana
4,285000.0,tayara,125.0,A vendre S3 a Cité el Ghazela,Appart,À Vendre,Tunis
1,108000.0,tayara,82.0,Un Appartement S1 à Cité El Omrane,Appart,À Vendre,Monastir
3,366000.0,tayara,140.0,(S3) à Bouhsina el Ghazali Direct Promoteur,Appart,À Vendre,Sousse
1,290000.0,tayara,90.0,(S1) Neuf à Sahloul 4 avec Place de Parking,Appart,À Vendre,Sousse
2,360000.0,tayara,106.0,À VENDRE S2 S3 Haut Standing Nouvelle Soukra Clés : fin 2025,Appart,À Vendre,Tunis
3,120000.0,tayara,70.0,شقه في حي الحدائق بصفاقس 5أوت,Appart,À Vendre,Sfax
1,193000.0,tayara,47.0,a vendre s1 s2 s3 direct promoteur a laouina,Appart,À Vendre,Tunis
1,241000.0,tayara,64.0,"a vendre s1 s2 direct promoteur a laouina, Achat facilité par crédit bancaire",Appart,À Vendre,Tunis
2,240000.0,tayara,90.0,maison à ezzahra,House,À Vendre,Ben Arous
8,1200000.0,tayara,970.0,km 2.5 route mohamed gayed (emplacement commercial) en face factory,House,À Vendre,Sfax
1,180000.0,tayara,54.0,A VENDRE S1 WAHAT TEL 58713586 FB.8250,Appart,À Vendre,Tunis
1,240000.0,tayara,70.0,À vendre Appartement S1 à AFH Mrezga,Appart,À Vendre,Nabeul
3,320000.0,tayara,120.0,A vendre à HAMMAMET centre ville un appartement,Appart,À Vendre,Nabeul
2,200000.0,tayara,90.0,Appartement bon standing à la nouvelle médina- 94332726,Appart,À Vendre,Ben Arous
2,70000.0,tayara,77.0,S2 شهادة ملكية فردية,Appart,À Vendre,Sousse
1,1500.0,tayara,90.0,A louer un luxueux appartement s2 pour long durée,Appart,À Vendre,Sousse
1,450000.0,tayara,252.0,Villa à vendre à menzel jemil Bizerte,House,À Vendre,Tunis
5,430000.0,tayara,350.0,VILLA DEXCEPTION - HAUT STANDING À MENZEL ABDERAHMEN,House,À Vendre,Tunis
2,330000.0,tayara,100.0,Appartement Neuf à Vendre à Sidi salem Bizerte,Appart,À Vendre,Bizerte
4,600000.0,tayara,160.0,A vendre duplex s4 a cité Tabek la Marsa,House,À Vendre,Tunis
4,870000.0,tayara,283.0,"A vendre triplex s4 prés de la closerie, hôpital mongie slim la Marsa",House,À Vendre,Tunis
3,700000.0,tayara,1000.0,Villa à cebalet ben ammar,House,À Vendre,Ariana
2,405000.0,tayara,176.0,A vendre un appartement S4 à Cité les palmeraies,Appart,À Vendre,Tunis
7,650.0,tayara,1300.0,à vendre villa,House,À Vendre,Mdenine
0,215000.0,tayara,54.0,S1 à jardin dannaser,Appart,À Vendre,Tunis
3,245000.0,tayara,400.0,فيلا للبيع بها 400م بالحمامات الجنوبية 99958728,House,À Vendre,Nabeul
8,950000.0,tayara,775.0,A Vendre villa haut standing a la Soukra Chotrana 3,House,À Vendre,Ariana
2,240000.0,tayara,115.0,Appartement S2 de 120 m² à La Nouvelle Medina,Appart,À Vendre,Tunis
0,159999.0,tayara,100.0,Appartement s2 a vendre 160MDT,Appart,À Vendre,Nabeul
2,2400.0,tayara,0.0,Un appartement S2 à la Nouvelle Médina - Vente directe promoteur,Appart,À Vendre,Ben Arous
3,2400.0,tayara,131.0,Un appartement S3 à Nouvelle Médina - Direct Promoteur,Appart,À Vendre,Ben Arous
3,220000.0,tayara,132.0,Appartement S3 de 132 m² à Ben Arous,Appart,À Vendre,Ben Arous
3,180000.0,tayara,110.0,Un Appartement S2 de 110 m² à Rades,Appart,À Vendre,Ben Arous
1,85000.0,tayara,110.0,café fonds de commerce de 110 m²,House,À Vendre,Ben Arous
2,280000.0,tayara,117.0,Appartement S2 de 116.70 m² à la Nouvelle Medina,Appart,À Vendre,Ben Arous
2,210000.0,tayara,90.0,Appartement S2 de 90 m² à la Nouvelle Medina,Appart,À Vendre,Ben Arous
3,620.0,tayara,230.0,Appartement Résidence Violette,Appart,À Vendre,Ariana
3,460000.0,tayara,136.0,A vendre S3 neuf à la Nouvelle Soukra,Appart,À Vendre,Ariana
3,620.0,tayara,230.0,Appartement Violette,Appart,À Vendre,Ariana
5,160000.0,tayara,85.0,Maison traditionnelle à Ras Jebel,House,À Vendre,Bizerte
3,500000.0,tayara,1000.0,"Maison terrain à vendre, Metline Bizerte Réf 2548",House,À Vendre,Tunis
3,130000.0,tayara,75.0,Appartement S3 à Borj Louzir Au Rez de chaussée,Appart,À Vendre,Ariana
3,390000.0,tayara,140.0,VENTE APPARTEMENT S3 RENOVÉ A EL MENZAH 4,Appart,À Vendre,Tunis
3,750000.0,tayara,348.0,"Duplex en Vente à Mnakaa Vue Mer, 3éme Position de la Plage",House,À Vendre,Mahdia
3,550000.0,tayara,186.0,Coup de cœur assuré ! S3 à 2 min de la mer,Appart,À Vendre,Mahdia
2,260000.0,tayara,420.0,maison individuelle S3 À seulement 4 minutes de la mer,House,À Vendre,Mahdia
3,310000.0,tayara,360.0,Une maison indépendante Titré au charme arabesque authentique à ksour Essef centre.,House,À Vendre,Mahdia
5,590000.0,tayara,480.0,Cette villa S5 est très proche de la mer.,House,À Vendre,Mahdia
2,220000.0,tayara,85.0,A vendre appartement S2 au RDC à kélibia ezzahra,Appart,À Vendre,Nabeul
2,160000.0,tayara,100.0,"A Vendre :Un Appartement S2 -Monastir ,R6",Appart,À Vendre,Monastir
3,320000.0,tayara,135.0,A vendre un appartement s3 avec place de parking sous-sol dans une nouvelle résidence a laouina proche de toutes commodités,Appart,À Vendre,Ariana
2,230000.0,tayara,90.0,A vendre appartement s2 avec abri de voiture a jardin de laouina,Appart,À Vendre,Tunis
2,198000.0,tayara,75.0,à vendre un appartement S2 situé au rez-de-chaussée à sahloul,Appart,À Vendre,Sousse
5,310000.0,tayara,260.0,A vendre une maison sur trois niveau bâtie sur terrain 100m2 au le kram ouest,House,À Vendre,Tunis
2,152000.0,tayara,42.0,A vendre s1 premier étage manar1,Appart,À Vendre,Tunis
2,297000.0,tayara,93.0,A vendre appartement s2 haut standing bonne orientation disponible immédiatement avec place de parking sous sol chez promoteur a cité el wahatt ain zaghouan,Appart,À Vendre,Tunis
3,317000.0,tayara,152.0,S3 à Jardin dennaser,Appart,À Vendre,Tunis
2,297000.0,tayara,93.0,A vendre appartement s2 haut standing bonne orientation disponible immédiatement avec place de parking sous sol chez promoteur a cité el wahatt ain zaghouan,Appart,À Vendre,Tunis
1,80000.0,tayara,70.0,A vendre appartement s1 au 4 eme etage sans ascenseur a nouvelle madina avec meublee,Appart,À Vendre,Ben Arous
2,270000.0,tayara,94.0,"A vendre très bel Appart S2, avec place de parking sous sol sis à cité les palmiers , Laouina, Soukra",Appart,À Vendre,Ariana
2,180000.0,tayara,80.0,maison,House,À Vendre,Sfax
2,180000.0,tayara,80.0,maison,House,À Vendre,Sfax
2,180000.0,tayara,80.0,maison,House,À Vendre,Sfax
3,329997.0,tayara,200.0,villa route de mansoura kelibia a vendre,House,À Vendre,Tunis
4,850000.0,tayara,285.0,À Vendre une Superbe Villa Haut Standing à Route de Relais -Gammarth,House,À Vendre,Tunis
2,295000.0,tayara,113.5,un très chic appartement de type S2 à Sahloul 4 RC,Appart,À Vendre,Sousse
2,270000.0,tayara,94.0,"A vendre très bel Appart S2, avec place de parking sous sol à cité les palmiers , Laouina, Soukra",Appart,À Vendre,Tunis
2,270000.0,tayara,94.0,"A vendre très bel Appart S2, avec place de parking sous sol à cité les palmiers , Laouina, Soukra",Appart,À Vendre,Tunis
3,320000.0,tayara,135.0,A vendre un appartement s3 avec place de parking sous-sol dans une nouvelle résidence a laouina proche de toutes commodités,Appart,À Vendre,Tunis
3,185000.0,tayara,92.0,S2 avec titre bleu,Appart,À Vendre,Ariana
8,1300000.0,tayara,380.0,Villa 2 niveaux titrée Ennasr 2,House,À Vendre,Ariana
2,140000.0,tayara,70.0,A Vendre S2 Cornichr,Appart,À Vendre,Sousse
1,160000.0,tayara,69.0,A vendre un appartement s1 neuf à la nouvelle madina 3,Appart,À Vendre,Ben Arous
2,370000.0,tayara,120.0,A Vendre S2 Panorama,Appart,À Vendre,Sousse
2,350000.0,tayara,116.0,Appartement s2 Cite Laouina,Appart,À Vendre,Tunis
